Distance,Angle
1.2,12.5
1.5,14.2
1.8,16.0
2.1,18.0
2.4,20.0
2.7,21.8
3.0,23.5
3.22,25.0
3.53,26.5
3.96,28.5
4.36,30.5
4.52,32.0
4.8,33.5
5.04,34.8
5.34,36.2
5.7,37.5
